Descripción;SKU;SKU Interno;Unidad de Medida;Precio de Venta Neto;Stock Mínimo;Stock Máximo;Familia;Descripción Detallada;ImpCotizacion;ImpOrdCompra;ImpDescDetEnVentas;ImpDescDetEnCotizaciones;ImpDescDetEnPedidos;Unidad Equivalente;Factor;Cuenta de Ventas;Impuesto;Rentabilidad;PorcRentabilidad;Descuento;DescuentoMax;Producción;Actualiza Stock Ecommerce en línea
Coil AISI 304 2B 750mm x1.5mm;CO-304-2B-750-15;;KG;1600;0;0;COILS;Bobina Acero Inoxidable AISI 304 Terminación 2B Ancho 750mm Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Coil AISI 304 2B 1000mm x1.5mm;CO-304-2B-1000-15;;KG;2000;0;0;COILS;Bobina Acero Inoxidable AISI 304 Terminación 2B Ancho 1000mm Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Coil AISI 304 2B 1500mm x1.5mm;CO-304-2B-1500-15;;KG;2900;0;0;COILS;Bobina Acero Inoxidable AISI 304 Terminación 2B Ancho 1500mm Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Macizo 1/4";MA-14;;ML;950;0;0;MACIZOS;Barra Maciza Acero Inoxidable 1/4 pulgada;;S;S;S;S;;;;;;;N;N
Barra Maciza 10mm;MA-BARRA-10;;ML;4200;0;0;MACIZOS;Barra Maciza Acero Inoxidable Diámetro 10mm;;S;S;S;S;;;;;;;N;N
Barra Maciza 8mm;MA-BARRA-8;;ML;4200;0;0;MACIZOS;Barra Maciza Acero Inoxidable Diámetro 8mm;;S;S;S;S;;;;;;;N;N
Hexagonal 1";MA-HEX-1;;ML;9000;0;0;MACIZOS;Barra Hexagonal Acero Inoxidable 1 pulgada;;S;S;S;S;;;;;;;N;N
Hexagonal 1 1/2";MA-HEX-112;;ML;9000;0;0;MACIZOS;Barra Hexagonal Acero Inoxidable 1 y 1/2 pulgada;;S;S;S;S;;;;;;;N;N
Hexagonal 3/4";MA-HEX-34;;ML;9000;0;0;MACIZOS;Barra Hexagonal Acero Inoxidable 3/4 pulgada;;S;S;S;S;;;;;;;N;N
Perfil Cuadrado 20x20x1.0mm;PF-20x20-10;;ML;16146;0;0;PERFILES;Perfil Cuadrado Acero Inoxidable 20x20mm Espesor 1.0mm;;S;S;S;S;;;;;;;N;N
Perfil Cuadrado 30x30x1.0mm;PF-30x30-10;;ML;3800;0;0;PERFILES;Perfil Cuadrado Acero Inoxidable 30x30mm Espesor 1.0mm;;S;S;S;S;;;;;;;N;N
Perfil Cuadrado 30x30x2.0mm;PF-30x30-20;;ML;7800;0;0;PERFILES;Perfil Cuadrado Acero Inoxidable 30x30mm Espesor 2.0mm;;S;S;S;S;;;;;;;N;N
