ID,familia,subfamilia,Unnamed: 3,Product: ID,Product: Handle,Importado,Parte importada,Variable dependiente1,Variable dependiente 2,Variable dependiente 3,subfamilia.1
331088560295,construccion,basurero-con-mecanismo,,8497254858919,basurero-con-pedal-10lts-batypr-0225,False,,,,,
331088560295,construccion,basurero-con-mecanismo,,8497254891687,basurero-con-pedal-20lts-batypr-0300,False,,,,,
331088560295,construccion,accesorio,,8497255186599,bandeja-pasavalores-banpsvc-00150,,,,,,
331088560295,construccion,basurero-reciclaje,,8497278746791,basurero-reciclaje-5-compartimientos-bare5-01500,,,,,,
331088560295,construccion,accesorio,,8497253089447,flanche-508mm-cc151,,,,,,
331088560295,construccion,accesorio,,8497253122215,separador-de-cristal-cc148,,,,,,
331088560295,construccion,accesorio,,8497253154983,soporte-para-vidrio-cc147,,,,,,
331088560295,construccion,accesorio,,8497253220519,tapa-terminal-508mm-cc119-508,,,,,,
331088560295,construccion,accesorio,,8497253253287,tapa-terminal-318mm-cc119-318,,,,,,
331088560295,construccion,accesorio,,8497253286055,tapa-terminal-254mm-cc119-254,,,,,,
331088560295,construccion,accesorio,,8497253318823,toma-cristal-cc104,,,,,,
331088560295,construccion,accesorio,,8497253351591,soporte-pasamanos-cc15,,,,,,
331088560295,construccion,accesorio,,8497253384359,roseta-cubre-tubo-cc97,,,,,,
331088560295,construccion,accesorio,,8497253417127,espiga-para-vidrio-cc6,,,,,,
331088560295,construccion,en-proyecto,,8497253449895,balaustro-un-lado-dd-004s,,,,,,Importado_a_venta
331088560295,construccion,en-proyecto,,8497253482663,balaustro-doble-lado-dd-004,,,,,,Importado_a_venta
331088560295,construccion,en-proyecto,,8497253515431,balaustro-4-barras-dd-181,,,,,,Importado_a_venta
331088560295,construccion,en-proyecto,,8497253548199,balaustro-vidrio-dd-138,,,,,,Importado_a_venta
331088560295,construccion,en-proyecto,,8539136852135,baranda-con-vidrio,,,,,,
331088560295,construccion,en-proyecto,,8749027754151,celosia-500x200mm-cell-0500,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497280024743,tostador-de-pan,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497280155815,poruna-100gr-por-0100,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497280090279,burger-smasher-sbur-0150,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258823847,poruna-2kg-por-2000,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258725543,plancha-acero-sobre-cubierta-plchcc-0435,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258660007,servilletero-home-acero-inoxidable,,,,,,
331631886503,accesorios-gastronomicos,importado,,8689612226727,pincho-pro-cuchillo-catemu-astil,,,,,,Importado_a_venta
331631886503,accesorios-gastronomicos,importado,,8689611866279,set-parrillero-cuchillo-catemu-astil-edicion-limitada,,,,,,Importado_a_venta
331631886503,accesorios-gastronomicos,importado,,8689611145383,set-parrillero-cuchillo-catemu-astil-edicion-limitada-black,,,,,,Importado_a_venta
331631886503,accesorios-gastronomicos,importado,,8651005919399,sarten-de-acero-inoxidable-con-fondo-triple-26-cm-2-2-l-tramontina-professional,,,,,,Importado_a_venta
331631886503,accesorios-gastronomicos,importado,,8651002314919,sarten-de-acero-inoxidable-cuerpo-triple-de-30-cm-3-4-l-tramontina-grano,,,,,,Importado_a_venta
331631886503,accesorios-gastronomicos,accesorio-simple,,8539195900071,servilletero-svc-120,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8539195736231,cortadora-de-fiambre-picf-0575,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539195637927,escurridor-de-servicios-ecs-105,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539195506855,atril-para-pasteles-tortas-y-ensaladas,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8539195179175,depositos-gastronomicos,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8539194982567,dispensador-para-papas-fritas-dpf-230,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539194851495,porta-bandejas-pbj-400,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539194654887,bandeja-de-acero-inoxidable-bacnox-0400,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539194523815,bandeja-de-cobre-bacoan-0400,,,,,,
