familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Lavaderos,taza-accesorio,TAZ-0061,Taza 450X450X300 Des 4 1/2,IMPORTADO
Lavaderos,taza-accesorio,TAZ-0051,Taza 500X400X250 Des 4 1/2,IMPORTADO
Lavaderos,taza-accesorio,TAZ-0054,Taza 500X400X300,IMPORTADO
Lavaderos,taza-accesorio,TAZ-0062,Taza 500X500X250 Des 4 1/2,IMPORTADO
Lavaderos,taza-accesorio,TAZ-0075,Taza 500X500X300 Des 4 1/2,IMPORTADO
Lavaderos,taza-accesorio,TAZ-0090,Taza 600X500X300 Des 4 1/2,IMPORTADO
Lavaderos,taza-accesorio,TAZOV-0290,Taza Redonda 290mm,IMPORTADO
Lavaderos,taza-accesorio,TAZOV-0380,Taza Redonda 380mm,IMPORTADO
Lavaderos,accesorio-clinico,BEINOX-0520,Bebedero,
Lavaderos,accesorio-clinico,LO-01,Lavaojos,IMPORTADO
Lavaderos,lavamopa,LVMPA-880,Lavamopa 880,
Lavavajillas,lavavajillas,HDW-50,Lavavajillas 500X500MM,IMPORTADO
Lavavajillas,lavavajillas,HDW-80,Lavavajillas 640X740X1470MM,IMPORTADO
Lavavajillas,accesorio,,Ablandador de Agua,IMPORTADO
Lavavajillas,meson-repisa,BAMTE-0900,Mesón Salida de Lavavajilla,
Lavavajillas,meson-en-proyecto,BAMTE-1400,Mesón Entrada de Lavavajilla con Desconche,
Mesones de Trabajo,meson-simple,BAMT-0900,Mesón Abierto de Trabajo de 900mm,
Mesones de Trabajo,meson-repisa,BAMT-1000,Mesón Abierto de Trabajo con repisa  de 1000 x 600 x 860 mm,
Mesones de Trabajo,meson-repisa,BAMT-1001,Mesón Abierto de Trabajo con repisa de 1000 x 600 x 860 mm,
Mesones de Trabajo,meson-repisa,BAMT-1002,Mesón Abierto de Trabajo con repisa de 1000 x 700 x 860 mm,
Mesones de Trabajo,meson-repisa,BAMT-1003,Mesón Abierto de Trabajo con repisa de 1000 x 800 x 860 mm,
Mesones de Trabajo,meson-simple,BAMT-1011,Mesón Abierto de Trabajo de 1000 x 800 x 860 mm,
Mesones de Trabajo,meson-cajones,BAMT-00200,Mesón Cerrado de Trabajo con Repisa de 2000 mm,
Mesones de Trabajo,meson-simple,BAMT - 1013,Mesón Abierto de Trabajo de 1000 x 800 x 860 mm,
Mesones de Trabajo,meson-repisa,BAMT-1401,Mesón Abierto de Trabajo con Repisa de 1400 x 600 x 860 mm,
Mesones de Trabajo,meson-en-proyecto,BAMT-1400,Mesón con Desconche de 1400 x 600 x 860 mm,
Mesones de Trabajo,meson-simple,BAMT-1012,Mesó Abierto de Trabajo de 1000 x 700 x 860 mm,
Mesones de Trabajo,meson-cajones,BAMT-0199,Mesón Cerrado de Trabajo con Repisa de 1500 mm,
Mesones de Trabajo,meson-cajones,BAMT-0197,Mesón Cerrado de Trabajo con Repisa de 1900 mm,
Mesones de Trabajo,meson-cajones,BAMTC-1300,Mesón Abierto de Trabajo con Repisa de 1300 x 600 x 860 mm,
Mesones de Trabajo,meson-simple,BAMTP-1100,Mesón Abierto de Trabajo Pintado de 1100 x 650 x 900 mm,
Mesones de Trabajo,meson-cajones,BAMTCU-1401,Mesón Abierto de Trabajo en Cobre de 1400 x 600 x 860 mm,
Mesones de Trabajo,meson-en-proyecto,MLRS-1800,Mesón de Lavado con Rack Secador,
Mesones de Trabajo,meson-simple,MPBK-2030,Mesón de Preparación,
Mesones de Trabajo,meson-en-proyecto,MCC1,Mueble Clínico,
Mesones de Trabajo,meson-en-proyecto,MCA-01,Mesa de Acero y Cristal,
Mesones de Trabajo,meson-en-proyecto,MAE-2500,Módulo de Atención Entrega,
Mesones de Trabajo,meson-en-proyecto,MQV-1400,Mesón de Procedimientos Veterinarios,
Mesones de Trabajo,meson-en-proyecto,MTCG-2000,Mesón de Trabajo con Cubierta de Granito,
Mesones de Trabajo,meson-en-proyecto,MDS-01240,Mesa Desueradora,
Mesones de Trabajo,meson-en-proyecto,,Basurero para Desconche de 70 LTRS,
Mesones de Trabajo,meson-en-proyecto,,Basurero con Ruedas para Desconche de 70 LTRS.,
Mesones de Trabajo,meson-simple,,Mesón de Trabajo,
Mesones de Trabajo,meson-repisa,,Mesón Abierto de Trabajo con Repisa en Cruz,
Mesones de Trabajo,meson-repisa,,Mesón con 3 Repisas Abierto,
Módulo de Autoservicio,modulo-neutro,AUDP-0177,Modulo Pan y Servicio,
Módulo de Autoservicio,modulo-neutro,AUMN-0900,Módulo Neutro 900mm,
Módulo de Autoservicio,modulo-neutro,AUMN-1000,Módulo Neutro 1000mm,
Módulo de Autoservicio,carro-bandejero,AUCB-0178,Carro Bandejero Cap 12 Bandejas,
Módulo de Autoservicio,carro-bandejero,AUCB-0810,Carro Bandejero Doble Cap 24 Bandejas,
Módulo de Autoservicio,salad-bar,AUSB-3510,Salad Bar con Gabinete Interior con Panel Acrilico Iluminado,
Módulo de Autoservicio,salad-bar,DUSB3A,Salad Bar 3 Depósitos Full,
Módulo de Autoservicio,bano-maria,DUBM3A-G,Baño Maria 3 Depósitos Full a Gas,
Módulo de Autoservicio,bano-maria,DUBM3A-E,Bño Maria 3 Depósitos Full Eléctrico,
Módulo de Autoservicio,bano-maria,DUBM6A,Baño Maria 6 Depósitos Full,
Módulo de Autoservicio,salad-bar,DUSB4A,Salad Bar 4 Depósitos Full,
Módulo de Autoservicio,bano-maria,DUBM4A-G,Baño Maria 4 Depósitos Full a Gas,
Módulo de Autoservicio,bano-maria,DUBM4A-E,Baño Maria 4 Depósitos Full Eléctrico,
Módulo de Autoservicio,accesorio,PIPS-0395AI,Perol de Sopa 10 Litros Inox,
Módulo de Autoservicio,accesorio,PIPS-0395,Perol de Sopa 10 Litros Negro,
Módulo de Autoservicio,accesorio,PICP-0450,Calienta Platos,
Módulo de Autoservicio,meson,MEC-1200,Mesón con Desconche Especial,
Módulo de Autoservicio,accesorio,RPVCM-1000,Metro Lineal Revestimiento Frontal PVC Madera,
Muebles refrigerados,freezer,CCVC-0070,Congeladora,IMPORTADO
Muebles refrigerados,visicooler,CCVC-0273,Conservadora 273 LTS,IMPORTADO
Muebles refrigerados,refrigerador,FD-020,Máquina para Fabricar Hielo,IMPORTADO
Muebles refrigerados,vitrina-refrigerada,HW-848,Vitrina Refrigerada de Sobremesa,IMPORTADO
Muebles refrigerados,meson-refrigerado,MRE-1200,Mesón Refrigerado de 1200MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MRE-1500,Mesón Refrigerado de 1500MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MRE-1800,Mesón Refrigerado de 1800MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MRC-1500,Mesón Refrigerado de 1500MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MRU-1200,Mesón Refrigerado de 1200MM,IMPORTADO
Muebles refrigerados,meson-freezer,MRFREE-1200,Mesón Freezer de 1200MM,IMPORTADO
Muebles refrigerados,meson-freezer,MRFREE-1500,Mesón Freezer de 1500MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,M2PC-1370,Mesón Refrigerado 2 Puertas Cristal,IMPORTADO
Muebles refrigerados,meson-refrigerado,M3PC-1800,Mesón Refrigerado 3 Puertas Cristal,IMPORTADO
Muebles refrigerados,meson-refrigerado,MR3E-1800,Mesón Refrigerado de 1800MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MR6C-1500,Mesón Refrigerado con Cajones de 1500MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MR6C-1800,Mesón Refrigerado con Cajones de 1800 MM,IMPORTADO
Muebles refrigerados,meson-refrigerado,MR4CB-1500,Mesón Refrigerado 4 Cajones,IMPORTADO
Muebles refrigerados,meson-refrigerado,MR6CB-1800,Mesón Refrigerado 6 Cajones,IMPORTADO
Muebles refrigerados,visicooler,PIVS-0090,Visicooler Vertical 90 LTS,IMPORTADO
Muebles refrigerados,visicooler,PIVS-0120,Visicooler Vertical 120 LTS,IMPORTADO
Muebles refrigerados,visicooler,PIVS-0380,Visicooler Vertical 380 LTS,IMPORTADO
Muebles refrigerados,visicooler,PIVSB-0380,Visicooler Vertical Blanco 380 LTS,IMPORTADO
Muebles refrigerados,visicooler,PIVS-1000,Vitrina Vertical Visicooler 1000 LTS,IMPORTADO
Muebles refrigerados,vitrina-pastelera,PIVE-0682,Vitrina Pastelera de Sobremesa,IMPORTADO
Muebles refrigerados,refrigerador,RM-0738,Refrigerador Industrial 500 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RM-1250,Refrigerador Industrial 1000 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RM-1425,Refrigerador Industrial 1000 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RMV-0620,Refrigerador Puerta de Cristal 500 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RMVC-0380,Refrigerador Color Cobre 500 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RMVG-0380,Refrigerador Color Grafito con Puerta Cristal 500 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RMV2-0620,Refrigerador 2 Puertas de Cristal 500 LTS,IMPORTADO
Muebles refrigerados,refrigerador,RCHEE-1200,Refrigerador 2 Puertas de Cristal 900 LTS,IMPORTADO
Muebles refrigerados,freezer,RFREE-0620,Congelador Industrial con Puerta Cristal 400 LTS,IMPORTADO
Muebles refrigerados,freezer,RFREE-0738,Congelador Industrial 500 LTS,IMPORTADO
Muebles refrigerados,freezer,RFREE-1425,Congelador Industrial 1000 LTS,IMPORTADO
Muebles refrigerados,freezer,RFREEV2-0620,Congelador Industrial 500 LTS,IMPORTADO
Muebles refrigerados,visicooler,SC-C327,Vitrina Vertical Visicooler 324 LTS,IMPORTADO
Muebles refrigerados,visicooler,SC-C387,Vitrina Vertical Visicooler 387 LTS,IMPORTADO
Muebles refrigerados,visicooler,SC-C517,Vitrina Vertical Visicooler 517 LTS,IMPORTADO
Muebles refrigerados,visicooler,SC-C817,Vitrina Vertical Visicooler 739 LTS,IMPORTADO
Muebles refrigerados,visicooler,SC-C1127,Vitrina Vertical Visicooler 1123 LTS,IMPORTADO
Muebles refrigerados,visicooler,SC-C1727,Vitrina Vertical Visicooler 1587 LTS,IMPORTADO
Muebles refrigerados,vitrina-pastelera,SL830V,Vitrina Pastelera Refrigerada de 900 MM,IMPORTADO
Muebles refrigerados,vitrina-pastelera,SL840V,Vitrina Pastelera Refrigerada de 1200 MM,IMPORTADO
Muebles refrigerados,vitrina-pastelera,SL840VC,Vitrina Pastelera Refrigerada Curva de 1200 MM,IMPORTADO
Muebles refrigerados,vitrina-pastelera,SL850V,Vitrina Pastelera Refrigerada de 1500 MM,IMPORTADO
Ollas,olla,FO-280260,Olla Acero Inoxidable 16 LTS,
Ollas,olla,FO-320320,Olla Acero Inoxidable 25 LTS,
Ollas,olla,FO-360250,Olla Acero Inoxidable 25 LTS,
Ollas,olla,FO-400260,Olla Acero Inoxidable 32 LTS,
Ollas,olla,FO-400400,Olla Acero Inoxidable 50 LTS,
Ollas,olla,FO-450300,Olla Acero Inoxidable 47 LTS,
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCHBM,Plancha Churrasquera con Baño Maria,
Plancha Churrasquera y Baño Maria,plancha-con-lonchera,PLCHLBM,Plancha Churrasquera con Lonchera,
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCH2BM,Plancha Churrasquera con Baño Maria Doble,
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCHBM-1300,Plancha Churrasquera con Baño Maria,
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCHBM-1500,Plancha Churrasquera con Baño Maria,
Plancha Churrasquera,plancha-gas,PLCH,Plancha Churrasquera 1 Quemador,
Plancha Churrasquera,plancha-gas,PLCH-1000,Plancha Churrasquera 2 Quemadores,
Plancha Churrasquera,plancha-gas,PLCH-1100,Plancha Churrasquera 2 Quemadores,
Plancha Churrasquera,plancha-gas,PLCH1100-P,Plancha Churrasquera 2 Quemadores Especial,
Plancha Churrasquera,plancha-gas,PLCH-1300,Plancha Churrasquera 3 Quemadores,
Plancha Churrasquera,plancha-especial,PLCHFA,Plancha Churrasquera Fuente Alemana,
Plancha Churrasquera,plancha-gas,HGR-906,Plancha Churrasquera,
Plancha Churrasquera,plancha-electrica,HEG-606,Plancha Churrasquera Eléctrica Encimera,
Plancha Churrasquera,plancha-electrica,HEG-818/PCE-550,Plancha Churrasquera Eléctrica Encimera,
Plancha Churrasquera,plancha-electrica,HEG-820/PCE-730,Plancha Churrasquera Eléctrica Encimera,
Plancha Churrasquera,plancha-electrica,CCCH-0018,Plancha Lisa Eléctrica de Sobremesa,
Plancha Churrasquera,accesorio,,Enchufe de 16 Amperes,
Poruñas,poruña-pequeña,POR-0100,Poruña 100 Gramos,
Poruñas,poruña-mediana,POR-0140,Poruña 140 Gramos,
Poruñas,poruña-mediana,POR-0170,Poruña 170 Gramos,
Poruñas,poruña-mediana,POR-0250,Poruña 250 Gramos,
Poruñas,poruña-mediana,POR-0300,Poruña 300 Gramos,
Poruñas,poruña-mediana,POR-0340,Poruña 340 Gramos,
Poruñas,poruña-mediana,POR-0500,Poruña 500 Gramos,
Poruñas,poruña-mediana,POR-0600,Poruña 600 Gramos,
Poruñas,poruña-mediana,POR-0750,Poruña 750 Gramos,
Poruñas,poruña-grande,POR-1000,Poruña 1 Kilo,
Poruñas,poruña-grande,POR-1500,Poruña 1.5 Kilos,
Poruñas,poruña-grande,POR-2000,Poruña 2 Kilos,
Poruñas,poruña-grande,POR-3000,Poruña 3 Kilos,
Poruñas,poruña-grande,POR-5000,Poruña 5 Kilos,
Salseras,salsera-simple,SC3,Salsera 3 Depósitos 1/3,IMPORTADO
Salseras,salsera-simple,SC6,Salsera 6 Depósitos 1/3,IMPORTADO
Salseras,salsera-grande,SC7,Salsera 7 Depósitos 1/3,IMPORTADO
Salseras,salsera-grande,SC8,Salsera 8 Depósitos 1/4,IMPORTADO
Salseras,salsera-grande,SC10,Salsera 10 Depósitos 1/3,IMPORTADO
Salseras,salsera-grande,SC12,Salsera 12 Depósitos 1/3,IMPORTADO
Salseras,salsera-pizza,SP18,Salsera Industrial Para Pizza 18 Depósitos Varios,IMPORTADO
Salseras,salsera-pizza,CFSC-0074,Salsera Industrial Para Pizza 8 Depósitos 1/3,IMPORTADO
Salseras,salsera-pizza,CFSC-1500,Salsera Industrial 7 Depósitos 1/3,IMPORTADO
Salseras,salsera-pizza,CFSC-2200,Salsera Industrial 24 Depósitos 1/3,IMPORTADO
Salseras,salsera-pizza,SCPI1300CA,Salsera Industrial 7 Depósitos 1/3,IMPORTADO
Tinas Queseras y Más,tina-quesera,EITQ-0100,Tina Quesera 100 LTS,
Tinas Queseras y Más,tina-quesera,TNQ-0500,Tina Quesera 500LTS,
Tinas Queseras y Más,molde-queso,MDQ-0245,Molde Queso 5 KG,
Tinas Queseras y Más,prensa-quesera,PQ2M-0200,Prensa de Queso,
Tinas Queseras y Más,molde-queso,MDQ-0230,Molde Quesillo 3 KG,
Tinas Queseras y Más,molde-queso,MDQC-040,Molde Quesillo Cono 40 MM,
Tinas Queseras y Más,molde-queso,MDQ-020,Molde Quesillo 20 MM,
Tinas Queseras y Más,molde-queso,MDQ-040,Molde Quesillo 40 MM,
Tinas Queseras y Más,molde-queso,MDQ-0110,Molde Quesillo 110 MM,
Tinas Queseras y Más,molde-queso,MDQ-0600,Molde Quesillo 600 GR,
Tinas Queseras y Más,molde-queso,MDQ-0200,Molde Quesillo 2 KG,
Tinas Queseras y Más,molde-queso,MDQ-050,Molde Quesillo 50 MM,
Tinas Queseras y Más,molde-queso,MDQ-0300,Molde Quesillo 300 MM,
Tinas Queseras y Más,accesorio,LR-100,Lira para Tina 100 LTS,
Tinas Queseras y Más,accesorio,PL-0850,Paleta Revolvedora,
Tinas Queseras y Más,molde-queso,MDQ-0370,Molde para Queso 15 KG,
Tramontina,importado,22969188,Afilador 8 Premium,IMPORTADO
Tramontina,importado,62624280,Cacerola Honda 280 MM,IMPORTADO
Tramontina,importado,63813710,Cazo de Sopa 490 MM,IMPORTADO
Tramontina,importado,2402010,Cuchillo Carnicero 7,IMPORTADO
Tramontina,importado,24009108,Cuchillo Pan 8,IMPORTADO
Tramontina,importado,24000103,Cuchillo Legumbres 3,IMPORTADO
Tramontina,importado,24475188,Cuchillo para Carne Premium 8,IMPORTADO
Tramontina,importado,24475180,Cuchillo para Carne Premium 10,IMPORTADO
Tramontina,importado,24625083,Cuchillo Mondador 3,IMPORTADO
Tramontina,importado,24011108,Cuchillo Cocinero 8,IMPORTADO
Tramontina,importado,24621082,Cuchillo Carnicero 12,IMPORTADO
Tramontina,importado,24010104,Cuchillo Cocina 4,IMPORTADO
Tramontina,importado,63813720,Espumadera Media,IMPORTADO
Tramontina,importado,62621240,Olla 240 MM,IMPORTADO
Tramontina,importado,62648280,Olla 280 MM,IMPORTADO
Tramontina,importado,62633260,Sartén 260 MM,IMPORTADO
Tramontina,importado,62633300,Sartén 300 MM,IMPORTADO
Vollrath,cortador,47713,Cortador de Papas Fritas,IMPORTADO
Vollrath,utensilio,1101,Raspador de Parrilla Mango Extra Largo,IMPORTADO
Vollrath,cortador,15202,Cortador de Tomates Manual,IMPORTADO
Vollrath,deposito-gn,1535BRS6-C02,Caja Contenedora de Alimentos,IMPORTADO
Vollrath,utensilio,20028,Rejilla para Escurrir y Hornear 1/1,IMPORTADO
Vollrath,utensilio,20029,Rejilla para Escurrir y Hornear 1/2,IMPORTADO
Vollrath,tapa-accesorio,2208-1354,Botella Dispensadora de Dos Puntas Tapa Morada,IMPORTADO
Vollrath,tapa-accesorio,2224-1308,Botella Dispensadora de Dos Puntas Tapa Amarilla,IMPORTADO
Vollrath,tapa-accesorio,26120-13,Botella Dispensadora Tapa Cerrada Estandar,IMPORTADO
Vollrath,deposito-gn,3101240,Deposito Gastronomico Hexagonal de 1/1,IMPORTADO
Vollrath,deposito-gn,3102020,Deposito Gastronomico Ovalado de 1/2,IMPORTADO
Vollrath,tapa-accesorio,3316-13191,Botella Dispensadora de Tri-Punta Tapa Verde,IMPORTADO
Vollrath,tapa-accesorio,3324-1302,Botella Dispensadora de Tri-Punta Tapa Roja,IMPORTADO
Vollrath,utensilio,3648,Botella Mezcladora Coctelera de Propileno 1-1/2,IMPORTADO
Vollrath,utensilio,3664,Botella Mezcladora Coctelera de Propileno 1/2,IMPORTADO
Vollrath,utensilio,3670,Pala Dispensadora de Papas Fritas,IMPORTADO
Vollrath,utensilio,46713,Tazon Salsero Acero Inoxidable,IMPORTADO
Vollrath,utensilio,46891,Poruña de Aluminio 12 oz,IMPORTADO
Vollrath,utensilio,4689850,Cucharas Solidas Nylon Amarillas,IMPORTADO
Vollrath,utensilio,46931,Espatula Rascador de Parrilla,IMPORTADO
Vollrath,utensilio,47003,Batidor de Acero Inoxidable con Mango Morado,IMPORTADO
Vollrath,utensilio,47091,Batidor de Acero Inoxidable con Mango Verde Claro,IMPORTADO
Vollrath,cucharas,47146,Cuchara Porcionadora Bolas de Helado 1 oz,IMPORTADO
Vollrath,utensilio,47165,Pala para Helado,IMPORTADO
Vollrath,utensilio,47166,Set Colador Gorro Chino,IMPORTADO
Vollrath,utensilio,47278,Cucharon para Helado,IMPORTADO
Vollrath,sarten,47755,Sarten de Acero Inoxidable,IMPORTADO
Vollrath,utensilio,4780911,Pinzas Pack de 3 Unidades,IMPORTADO
Vollrath,utensilio,47935,Bowl Metal de 298 MM,IMPORTADO
Vollrath,utensilio,47938,Bowl Metal de 342 MM,IMPORTADO
Vollrath,utensilio,4808820,Espatula Solida para Voltear,IMPORTADO
Vollrath,tapa-accesorio,4902-01,Tapa de Botella Dispensadora,IMPORTADO
Vollrath,tapa-accesorio,4905-191,Tapa Plastica Verde Mediana,IMPORTADO
Vollrath,tapa-accesorio,4906-32,Tapa Plastica Beige Mediana,IMPORTADO
Vollrath,tapa-accesorio,4907-08,Tapa Plastica Amarilla Grande,IMPORTADO
Vollrath,tapa-accesorio,4908-01,Tapa Plastica Negra Boca Ancha Grande,IMPORTADO
Vollrath,utensilio,4980810,Cucharon Gancho Acanalado 8 oz,IMPORTADO
Vollrath,utensilio,4981220,Cucharon Gancho Acanalado Antimicrobial 12 oz,IMPORTADO
Vollrath,utensilio,5200311,Tabla de Cortar o Picar Multicolor,IMPORTADO
Vollrath,utensilio,52010,Espatula Tipo Cuchara Flexible,IMPORTADO
Vollrath,dispensador,52063,Botella Dispensadora de una Punta Plastico Transparente,IMPORTADO
Vollrath,dispensador,52064,Botella Dispensadora de una Punta Plastico Rojo,IMPORTADO
Vollrath,dispensador,52065,Botella Dispensadora de una Punta Plastico Amarillo,IMPORTADO
Vollrath,utensilio,52109,Espatula Termoplastica,IMPORTADO
Vollrath,deposito-gn,52618,Caja Contenedora con Canasto de Drenaje Interior,IMPORTADO
Vollrath,cucharas,5283520,Cuchara Porcionadora Tazon Redondo Solido,IMPORTADO
Vollrath,cucharas,5283621,Cuchara Porcionadora Tazon Redondo Perforado,IMPORTADO
Vollrath,cucharas,5292620,Cuchara Porcionadora Tazon Ovalado Solido,IMPORTADO
Vollrath,cucharas,5292720,Cuchara Porcionadora Tazon Ovalado Perdorado,IMPORTADO
Vollrath,utensilio,4808921,Espatula Perforada para Voltear,IMPORTADO
Vollrath,bandeja,5315,Bandeja de Aluminio,IMPORTADO
Vollrath,utensilio,533-06,Tazon Salsera Plastico Negro,IMPORTADO
Vollrath,sarten,58910,Sarten de Acero al Carbono,IMPORTADO
Vollrath,cucharas,62175,Cuchara Porcionador Tazon Redondo Perforado,IMPORTADO
Vollrath,cucharas,62177,Cuchara Porcionadora Tazon Redondo Solido,IMPORTADO
Vollrath,tapa-accesorio,62303,Cubierta o Tapa para Platos 239mm,IMPORTADO
Vollrath,tapa-accesorio,62340,Cubierta o Tapa para Platos 220mm,IMPORTADO
Vollrath,cucharas,6412335,Cuchara Porcionadora Tazon Ovalado Solido Mango Blanco,IMPORTADO
Vollrath,utensilio,64130,Cuchara Solida Mango Ergonomico Negro,IMPORTADO
Vollrath,utensilio,64132,Cuchara Perforada Mango Ergonomico Negro,IMPORTADO
Vollrath,cucharas,6422335,Cuchara Porcionadora Tazon Ovalado Mango Blanco,IMPORTADO
Vollrath,cucharas,6432120,Cuchara Porcionadora Tazon Redondo Mango Negro,IMPORTADO
Vollrath,cucharas,6433121,Cuchara Porcionadora Tazon Redondo Solido Mango Negro,IMPORTADO
Vollrath,bandeja,68100,Bandeja para Hornear Galletas,IMPORTADO
Vollrath,utensilio,68183,Agitador de Aluminio con Mango,IMPORTADO
Vollrath,sarten,69210,Sarten de Acero Inoxidable 254mm Diametro Mango Perforado,IMPORTADO
Vollrath,sarten,7010,Sarten Aluminio 254mm Diametro,IMPORTADO
Vollrath,accesorio,72681019,Lampara de Calor Aluminio,IMPORTADO
Vollrath,deposito-gn,8006410,Deposito Plastico Resistente 1/1 Policarbonato,IMPORTADO
Vollrath,deposito-gn,8034410,Deposito Plastico Resistente 1/3 Policarbonato,IMPORTADO
Vollrath,deposito-gn,8034420,Deposito Plastico Resistente 1/3 Policarbonato Negro,IMPORTADO
Vollrath,cortador,808SG,Cortador de Frutas y Vegetales 8 Secciones,IMPORTADO
Vollrath,deposito-gn,90023,Deposito Gastronomico con Esquinas Concavas 1/1x65mm,IMPORTADO
Vollrath,deposito-gn,90052,Deposito Gastronomico con Esquinas Concavas 1/1x60mm,IMPORTADO
Vollrath,deposito-gn,9006410,Deposito Plastico Resistente de Resina de Ambar,IMPORTADO
Vollrath,deposito-gn,90252,Deposito Gastronomico con Esquinas Concavas 1/2x60mm,IMPORTADO
Vollrath,deposito-gn,90352,Deposito Gastronomico con Esquinas Concavas 1/3x60mm,IMPORTADO
Vollrath,deposito-gn,90642,Deposito Gastronomico con Esquinas Concavas 1/6x100mm,IMPORTADO
Vollrath,deposito-gn,90942,Deposito Gastronomico con Esquinas Concavas 1/9x100mm,IMPORTADO
Vollrath,tapa-accesorio,918-13,Cubierta o Tapa para Platos de Policarbonato Transparente,IMPORTADO
Vollrath,utensilio,BCO-6000,Abridor de Latas,IMPORTADO
Vollrath,vitrina-encimera,LBC1418-3F-06,Vitrina Encimera para Pasteles 3 Compartimientos,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,en-l,BRA-01200,Barra en L 600X600,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,en-angulo,BRA-0130,Barra Ángulo 130°,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0300,Barra de Apoyo 300MM,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0450,Barra de Apoyo 450MM,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0600,Barra de Apoyo 600MM,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,recta,BRA-0800,Barra de Apoyo 800MM,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,abatible,BRA-0610,Barra Abatible 610MM,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,doble,BRA-0790,Barra de Apoyo Doble a Muro 600MM,IMPORTADO
Accesorios para Personas con Capacidades Diferentes,en-proyecto,PAD-0900,Puerta de Acceso Universal,IMPORTADO
Baldes,balde,BLDS-180,Balde de 5Lts,
Baldes,balde,BLDS-190,Balde de 7Lts,
Baldes,balde,BLDS-230,Balde de 10Lts,
Baldes,balde,BLDS-240,Balde de 12Lts,
Baldes,balde,BLDS-380,Balde de 14Lts,
Baldes,balde,BLDS-270,Balde de 15Lts,
Baldes,balde,BLDS-300,Balde de 20Lts,
Baldes,balde,BLDS-350,Balde de 30Lts,
Baldes,balde,BLDS-400,Balde de 40Lts,
Bandejas Pasa Valores,bandeja-pasavalores,BANPSVC-00300,Bandeja Pasa Valores 300,
Bandejas Pasa Valores,bandeja-pasavalores,BANPSVC-00260,Bandeja Pasa Valores 260,
Bandejas Pasa Valores,bandeja-pasavalores,BANPSVC-00150,Bandeja Pasa Valores 200,
Baranda y Pasamanos,hardware-accesorio,CC104,Toma Cristal 50MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC119-254,Tapa para Tubo 25.4MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC119-318,Tapa para Tubo 31.8MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC119-508,Tapa para Tubo 50.8MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC147,Soporte para Vidrio 8-10MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC148,Separador de Cristal 25MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC11,Soporte Muro Pasamanos,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC15,Soporte Pasamanos 1/2,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC151,Flanche para Tubo 50.8MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC6,Espiga para Vidrios,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CCS6,Perno Anclaje Espiga para Vidrio,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,CC97,Roseta Cubre Base para Tubo 50.8MM,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,DD-004,Balaustro Doble Lado,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,DD-004S,Balaustro a un Lado,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,DD-138,Balaustro Vidrio,IMPORTADO
Baranda y Pasamanos,hardware-accesorio,DD-181,Balaustro 4 Barras,IMPORTADO
Baranda y Pasamanos,guia,GUC-01000,Protecciones Bajas,IMPORTADO
Baranda y Pasamanos,puerta-acceso,PU-0015,Módulo Puerta Unidireccional,IMPORTADO
