familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Carros de Traslado,carro-bandejero,AUCB-0900,Carro para Sushi,
Carros Multipropósito,carro-multiproposito,CAMMUL-0175,Carro Multipropósito,
Carros Multipropósito,carro-food,CAFOD-01900,Carro Hot Dog Green Dog,
Carros Multipropósito,carro-food,CAHD-01900,Carro para Hot Dog y Hamburguesas,
Carros Multipropósito,carro-food,CAMAU-01200,Carro Hot Dog Autónomo,
Carros Multipropósito,carro-food,CAMCUR-01400,Carro Multipropósito Curvo,
Carros Multipropósito,carro-food,CAMHU-01200,Carro para Mote con Huesillo,
Carros Multipropósito,carro-food,CAJUG-01000,Carro para Jugos,
Carros Multipropósito,carro-multiproposito,,Carro Multipropósito Recto,
Cocinas Industriales,anafe,1PQ,Anafe Industrial a Gas 1 Quemador,
Cocinas Industriales,anafe,1PQN,Anafe Industrial a Gas 1 Quemador,
Cocinas Industriales,anafe,2PQ,Anafe Industrial a Gas 2 Quemadores,
Cocinas Industriales,anafe,2PQL,Anafe Industrial a Gas 2 Quemadores Alta,
Cocinas Industriales,anafe,2PQN,Anafe Industrial a Gas 2 Quemadores,
Cocinas Industriales,cocina-gas,3PQ,Cocina Industrial a Gas 3 Quemadores,
Cocinas Industriales,cocina-gas,4PQ,Cocina Industrial a Gas 4 Quemadores,
Cocinas Industriales,cocina-gas,4PQN,Cocina Industrial a Gas 4 Quemadores,
Cocinas Industriales,cocina-con-plancha,4PQCH,Cocina Industrial a Gas 4 Quemadores con Placha Churrasquera,
Cocinas Industriales,cocina-con-plancha,4PQCHBM,Cocina 4 Quemadores con Plancha Churrasquera y Baño Maria,
Cocinas Industriales,cocina-con-horno,4PQH,Cocina 4 Quemadores con Horno,
Cocinas Industriales,cocina-con-horno,4PQHCH,Cocina 4 Quemadores con Horno y Plancha Churrasquera,
Cocinas Industriales,cocina-gas,6PQ,Cocina 6PQ,
Cocinas Industriales,cocina-con-plancha,6PQCH,Cocina 6 Quemadores con Plancha Churrasquera,
Cocinas Industriales,cocina-con-horno,6PQH,Cocina 6 Quemadores con Horno,
Cocinas Industriales,cocina-con-horno,6PQHCH,Cocina 6 Quemadores con Horno y Plancha Churrasquera,
Cocinas Industriales,cocina-gas,8PQ,Cocina 8PQ,
Cocinas Industriales,parrilla,CCCG-0003,Parrilla a Gas,
