familia,subfamilia,codigo,producto,handle,url,descripcion_web,scrape_status,importado_flag,tipo_fabricacion,complejidad,fuente
Accesorios para Personas con Capacidades Diferentes,recta,,,barras-de-apoyo-recta-800-bra-0800,https://dulox.cl/products/barras-de-apoyo-recta-800-bra-0800,"Barra de 1 ¼” ø, Largo total de 800 mm, 2 Tapa Pernos de 2 ½” ø, Espesor de tubo 1,2 mm, Fabricación Íntegramente en Acero Inoxidable Calidad AISI 304-L",ok,,fabricado,C1,sheet1
Accesorios para Personas con Capacidades Diferentes,recta,,,barras-de-apoyo-recta-600-bra-0600,https://dulox.cl/products/barras-de-apoyo-recta-600-bra-0600,"Barra de 1 ¼” ø, Largo total de 600 mm, 2 Tapa Pernos de 2 ½” ø, Espesor de tubo 1,2 mm, Fabricación Íntegramente en Acero Inoxidable Calidad AISI 304-L",ok,,fabricado,C1,sheet1
Accesorios para Personas con Capacidades Diferentes,recta,,,barra-de-apoyo-recta-450-bra-0450,https://dulox.cl/products/barra-de-apoyo-recta-450-bra-0450,"Barra de 1 ¼” ø, Largo total de 450 mm, 2 Tapa Pernos de 2 ½” ø, Espesor de tubo 1,2 mm, Fabricación Íntegramente en Acero Inoxidable Calidad AISI 304-L",ok,,fabricado,C1,sheet1
Accesorios para Personas con Capacidades Diferentes,recta,,,barras-de-apoyo-recta-300-bra-0300,https://dulox.cl/products/barras-de-apoyo-recta-300-bra-0300,"La barra de seguridad recta DULOX de 300mm de largo está diseñada especialmente para mantenerte seguro. Esta barra de asistencia es ideal para personas con movilidad reducida, embarazadas, personas con pérdida del equilibrio, adultos mayores o pacientes recuperándose de una cirugía. Fabricado con los estándares DULOX en acero AISI 340-L, garantiza la durabilidad y resistencia, durara prácticamente para toda la vida. - Evita accidentes - Extremadamente resistente y seguro. - Para todo tipo de baños: Soporte universal. - El producto requiere instalación. BARRA DE APOYO DE 1 ¼” Ø • 2 TAPA PERNOS DE 2 ½” Ø • ESPESOR DE TUBO DE 1.2MM • FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L Somos fabricantes nacionales, con experiencia de más de 70 años, confía en DULOX! Garantía del vendedor: 6 meses",ok,,fabricado,C2,sheet1
Accesorios para Personas con Capacidades Diferentes,curva,,,barra-en-angulo-de-130-bra-0130,https://dulox.cl/products/barra-en-angulo-de-130-bra-0130,"Barra de 1 ¼” ø Largo total de 550 mm, 2 Tapa Pernos de 2 ½” ø, Espesor de tubo 1,2 mm, Fabricación Íntegramente en Acero Inoxidable Calidad AISI 304-L",ok,,fabricado,C1,sheet1
Accesorios para Personas con Capacidades Diferentes,base-reforzada,,,barra-de-apoyo-doble-a-muro-bra-0790,https://dulox.cl/products/barra-de-apoyo-doble-a-muro-bra-0790,"La barra de seguridad DULOX está diseñada especialmente para mantenerte seguro, apoyo doble muro. Esta barra de asistencia es ideal para personas con movilidad reducida, embarazadas, personas con pérdida del equilibrio, adultos mayores o pacientes recuperándose de una cirugía. Fabricado con los estándares DULOX en acero AISI 340-L, garantiza la durabilidad y resistencia, durara prácticamente para toda la vida. - Evita accidentes - Extremadamente resistente y seguro. - Para todo tipo de baños: Soporte universal. - El producto requiere instalación. BARRA DE APOYO DOBLE A MURO DE 1 ¼” Ø • 3 TAPA PERNOS DE 2 ½” Ø • ESPESOR DE TUBO DE 1.2MM • FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L Somos fabricantes nacionales, con experiencia de más de 70 años, confía en DULOX! Garantía del vendedor: 6 meses",ok,,fabricado,C2,sheet1
Accesorios para Personas con Capacidades Diferentes,curva,,,barra-en-l-a-muro-o-piso-bra-01200,https://dulox.cl/products/barra-en-l-a-muro-o-piso-bra-01200,"Barra de 1 ¼” ø, Largo de 600 mm x 600 mm, 3 Tapa Pernos de 2 ½” ø, Espesor de tubo 1,2 mm, Fabricación Íntegramente en Acero Inoxidable Calidad AISI 304-L",ok,,fabricado,C1,sheet1
Accesorios para Personas con Capacidades Diferentes,en-proyecto,,,rampa-de-acceso,https://dulox.cl/products/rampa-de-acceso,"RAMPA DE ACCESO PARA PERSONA CON DISCAPACIDAD EN DIVERSAS GEOMÉTRICAS Y CON DIFERENTES SOLUCIONES DE ACCESO, RAMPAS INCORPORADAS DE ACERO INOXIDABLE O BARANDAS Y PASAMANOS SOBRE ANTEPECHOS.",ok,,fabricado,C3,sheet1
Accesorios para Personas con Capacidades Diferentes,en-proyecto,,,puerta-de-acceso-universal-pad-0900,https://dulox.cl/products/puerta-de-acceso-universal-pad-0900,"PUERTA DE ACCESO UNIVERSAL PARA PERSONAS CON DISCAPACIDAD. FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE
CALIDAD AISI 304-L DE DIMENSIONES 900 MM DE ANCHO X 700 MM DE ALTURA
ESTRUCTURADA EN PERFIL 30X30X1.5. PILAR 100X100X1.5 CON SISTEMA
MECÁNICO SIMPLE CON PASADOR.
CONSIDERAR PUERTA DE ACRILICO.",ok,,fabricado,C3,sheet1
Accesorios para Personas con Capacidades Diferentes,en-proyecto,,,baranda-con-travesanos-brt-01000,https://dulox.cl/products/baranda-con-travesanos-brt-01000,BARANDA CON TRAVESAÑOS FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR.,ok,,fabricado,C3,sheet1
